report_begin_date,report_end_date,published_Date,market_type,slug_id,slug_name,report_title,final_ind,report_date,special_notes,report_narrative,_section,community,commodity,published_date,variety,region,size,organic,environment,store_count,wtd_avg_price,prior_WK_store_count,prior_WK_wtd_avg_price,prior_YR_store_count,prior_YR_wtd_avg_price,price_Range,stores_with_Ads,wtd_Avg_Price,%_Marked_Local
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,National,2 lb bag,Yes,N/A,1128.0,4.56,585.0,4.99,2575.0,4.88,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Southcentral,3 lb bag,No,N/A,193.0,3.83,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,National,3 lb bag,No,N/A,193.0,3.83,597.0,3.03,1070.0,3.24,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Southeast,3 lb bag,Yes,N/A,187.0,3.5,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,National,3 lb bag,Yes,N/A,187.0,3.5,,,187.0,3.98,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Alaska,per lb,No,N/A,30.0,2.89,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Hawaii,per lb,No,N/A,65.0,2.22,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Midwest,per lb,No,N/A,130.0,1.23,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Northeast,per lb,No,N/A,269.0,1.42,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Southwest,per lb,No,N/A,352.0,1.99,,,,,,,,
